#JCAT	Name
# Updated 2025 Aug  5 0444:32
A00045	[Луна-4]
A04001	Космос-1465 ЭСО
A04002	Космос-1465 ЭСО
A04003	Космос-1465 ЭСО
A04017	Спускаемая Капсула
A04022	Спускаемая Капсула
A04027	Спускаемая Капсула
A04055	Спускаемая Капсула
A04062	Спускаемая Капсула
A04066	Спускаемая Капсула
A04087	ГВМ Целина-2
A04091	Спускаемая Капсула
A04144	Спускаемая Капсула
A04147	Спускаемая Капсула
A04152	Спускаемая Капсула
A04154	НМ74П
A04156	Космос-1688 ЭСО
A04157	Космос-1688 ЭСО
A04158	Космос-1688 ЭСО
A04159	Космос-1688 ЭСО
A04160	Космос-1688 ЭСО
A04161	Космос-1688 ЭСО
A04162	Космос-1688 ЭСО
A04163	Космос-1688 ЭСО
A04164	Космос-1688 ЭСО
A04165	Космос-1688 ЭСО
A04166	Космос-1688 ЭСО
A04167	Космос-1688 ЭСО
A04168	Космос-1688 ЭСО
A04169	Космос-1688 ЭСО
A04170	Космос-1688 ЭСО
A04171	Космос-1688 ЭСО
A04172	Космос-1688 ЭСО
A04173	Космос-1688 ЭСО
A04174	Космос-1688 ЭСО
A04175	Космос-1688 ЭСО
A04176	Космос-1688 ЭСО
A04177	Космос-1688 ЭСО
A04178	Космос-1688 ЭСО
A04179	Космос-1688 ЭСО
A04187	Спускаемая Капсула
A04212	Спускаемая Капсула
A04233	Спускаемая Капсула
A04242	Спускаемая Капсула
A04255	Спускаемая Капсула
A04263	Спускаемая Капсула
A04271	Спускаемая Капсула
A04274	Спускаемая Капсула
A04280	Спускаемая Капсула
A04284	Спускаемая Капсула
A04286	Спускаемая Капсула
A04296	Спускаемая Капсула
A04300	Спускаемая Капсула
A04306	Спускаемая Капсула
A04311	Спускаемая Капсула
A04320	Спускаемая Капсула
A04326	Спускаемая Капсула
A04343	Спускаемая Капсула
A04347	Спускаемая Капсула
A04349	Спускаемая Капсула
A04352	Спускаемая Капсула
A04355	Спускаемая Капсула
A04356	Космос-1815 ЭСО
A04357	Космос-1815 ЭСО
A04358	Космос-1815 ЭСО
A04359	Космос-1815 ЭСО
A04360	Космос-1815 ЭСО
A04361	Космос-1815 ЭСО
A04362	Космос-1815 ЭСО
A04363	Космос-1815 ЭСО
A04364	Космос-1815 ЭСО
A04365	Космос-1815 ЭСО
A04366	Космос-1815 ЭСО
A04367	Космос-1815 ЭСО
A04368	Космос-1815 ЭСО
A04369	Космос-1815 ЭСО
A04370	Космос-1815 ЭСО
A04371	Космос-1815 ЭСО
A04372	Космос-1815 ЭСО
A04373	Космос-1815 ЭСО
A04374	Космос-1815 ЭСО
A04375	Космос-1815 ЭСО
A04376	Космос-1815 ЭСО
A04377	Космос-1815 ЭСО
A04378	Космос-1815 ЭСО
A04379	Космос-1815 ЭСО
A04389	Спускаемая Капсула
A04399	Спускаемая Капсула
A04403	Спускаемая Капсула
A04409	Спускаемая Капсула
A04412	Спускаемая Капсула
A04420	Спускаемая Капсула
A04424	Спускаемая Капсула
A04429	Спускаемая Капсула
A04431	Спускаемая Капсула
A04458	Спускаемая Капсула
A04463	Спускаемая Капсула
A04468	Спускаемая Капсула
A04474	Спускаемая Капсула
A04483	Спускаемая Капсула
A04487	Спускаемая Капсула
A04513	Космос-1917
A04514	Космос-1918
A04516	Спускаемая Капсула
A04519	Спускаемая Капсула
A04531	Спускаемая Капсула
A04533	Спускаемая Капсула
A04544	Спускаемая Капсула
A04549	Спускаемая Капсула
A04562	Долгоживущая Автономная Станция
A04564	Спускаемая Капсула
A04568	Спускаемая Капсула
A04573	Спускаемая Капсула
A04587	Спускаемая Капсула
A04602	Спускаемая Капсула
A04606	Спускаемая Капсула
A04611	БДП
A04628	Спускаемая Капсула
A04631	Спускаемая Капсула
A04642	Спускаемая Капсула
A04647	Спускаемая Капсула
A04656	Спускаемая Капсула
A04658	Долгоживущая Автономная Станция
A04659	ПРОП-ФП
A04663	Спускаемая Капсула
A04675	Космос-1453 ЭСО
A04676	Космос-1453 ЭСО
A04679	Спускаемая Капсула
A04683	Спускаемая Капсула
A04685	Спускаемая Капсула
A04692	Спускаемая Капсула
A04699	Спускаемая Капсула
A04701	Спускаемая Капсула
A04703	Спускаемая Капсула
A04705	Спускаемая Капсула
A04707	Спускаемая Капсула
A04718	Спускаемая Капсула
A04722	Спускаемая Капсула
A04725	Спускаемая Капсула
A04726	Спускаемая Капсула
A04727	Спускаемая Капсула
A04752	Спускаемая Капсула
A04756	Спускаемая Капсула
