JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
F00002	1957-F01	Vanguard Test Satellite F	1957 Dec  6	1957 Dec  6	1957 Dec  6	1957 Dec  6	-	Vanguard Test		-	-	C	TECH	U	-	-	-	-					-	0	0	0.00	-
F00004	1958-F01	Vanguard Test Satellite G	1958 Feb  5	1958 Feb  5	1958 Feb  5	1958 Feb  5	-	Vanguard Test		-	-	C	TECH	U	-	-	-	-					-	0	0	0.00	-
F00006	1958-F02	Explorer 2	1958 Mar  5	1958 Mar  5	1958 Mar  5	1958 Mar  5	-	Explorer ABMA		-	-	C	SCI	U	-	P*	-	-					-	0	0	0.00	Radiation
F00008	1958-F03	[ISZ]	1958 Apr 27	1958 Apr 27	1958 Apr 27	1958 Apr 27	-	ObjectD		-	-	C	SCI	U	-	P/F/MM*	-	-					-	0	0	0.00	Radiation satellite
F00011	1958-F04	Vanguard	1958 Apr 29	1958 Apr 29	1958 Apr 29	1958 Apr 29	-	Vanguard		-	-	C	SCI	U	-	SX*	-	-					-	0	0	0.00	Solar X-rays
F00013	1958-F05	Vanguard	1958 May 28	1958 May 28	1958 May 28	1958 May 28	-	Vanguard		-	-	C	SCI	U	-	SOL*	-	-					-	0	0	0.00	Solar Lyman Alpha
F00015	1958-F06	Vanguard	1958 Jun 26	1958 Jun 26	1958 Jun 26	1958 Jun 26	-	Vanguard		-	-	C	SCI	U	-	SX*	-	-					-	0	0	0.00	Solar X-rays
F00018	1958-F07	NOTS 1	1958 Jul 25	1958 Jul 25	1958 Jul 25	1958 Jul 25	-	NOTS		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00021	1958-F08	NOTS 2	1958 Aug 12	1958 Aug 12	1958 Aug 12	1958 Aug 12	-	NOTS		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00023	1958-F09	Pioneer	1958 Aug 17	1958 Aug 17	1958 Aug 17	1958 Aug 17	-	Able		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00027	1958-F10	NOTS 3	1958 Aug 22	1958 Aug 22	1958 Aug 22	1958 Aug 22	-	NOTS		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00029	1958-F11	Explorer 5	1958 Aug 24	1958 Aug 24	1958 Aug 24	1958 Aug 24	-	Explorer ABMA		-	-	C	SCI	U	-	P	-	-					-	0	0	0.00	Radiation
F00032	1958-F12	NOTS 4	1958 Aug 25	1958 Aug 25	1958 Aug 25	1958 Aug 25	-	NOTS		-	-	D	SCI	U	-	P	-	-					-	0	0	0.00	Radiation
F00035	1958-F13	NOTS 5	1958 Aug 26	1958 Aug 26	1958 Aug 26	1958 Aug 26	-	NOTS		-	-	D	SCI	U	-	P	-	-					-	0	0	0.00	Radiation
F00038	1958-F14	NOTS 6	1958 Aug 28	1958 Aug 28	1958 Aug 28	1958 Aug 28	-	NOTS		-	-	D	SCI	U	-	P	-	-					-	0	0	0.00	Radiation
F00040	1958-F15	[AMS Luna]	1958 Sep 23	1958 Sep 23	1958 Sep 23	1958 Sep 23	-	Luna		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00042	1958-U01	Vanguard	1958 Sep 26	1958 Sep 26	1958 Sep 26	1958 Sep 26	-	Vanguard		-	-	C	IMG	U	-	ATM*	-	-					-	0	0	0.00	Cloud cover imagera
F00044	1958-F17	[AMS Luna]	1958 Oct 11	1958 Oct 11	1958 Oct 11	1958 Oct 11	-	Luna		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00048	1958-F18	Beacon	1958 Oct 23	1958 Oct 23	1958 Oct 23	1958 Oct 23	-	Beacon		-	-	C	SCI	U	-	ATM	-	-					-	0	0	0.00	Balloon satellite
F00051	1958-F19	Pioneer 2	1958 Nov  8	1958 Nov  8	1958 Nov  8	1958 Nov  8 0812	-	Able		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00054	1958-F20	[AMS Luna]	1958 Dec  4	1958 Dec  4	1958 Dec  4	1958 Dec  4	-	Luna		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00056	1959-F01	Vanguard	1959 Apr 14	1959 Apr 14	1959 Apr 14	1959 Apr 14	-	Vanguard3		-	-	C	SCI	U	-	P/F*	-	-					-	0	0	0.00	Magnetometer
F00058	1959-F01	30-inch Sphere	1959 Apr 14	1959 Apr 14	1959 Apr 14	1959 Apr 14	-	Beacon		-	-	C	SCI	U	-	ATM	-	-					-	0	0	0.00	Balloon satellite
F00060	1959-F02	Discoverer 3	1959 Jun  3	1959 Jun  3	1959 Jun  3	1959 Jun  3	-	CORONA Early		-	-	D	TECH	U	-	BIO	-	-					-	0	0	0.00	Mice package
F00062	1959-F02	SRV	1959 Jun  3	1959 Jun  3	1959 Jun  3	1959 Jun  3	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00064	1959-F06	[AMS Luna]	1959 Jun 18	1959 Jun 18	1959 Jun 18	1959 Jun 18	-	Luna		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00066	1959-F03	Vanguard	1959 Jun 22	1959 Jun 22	1959 Jun 22	1959 Jun 22	-	Vanguard		-	-	C	SCI	U	-	ATM*	-	-					-	0	0	0.00	Radiation balance
F00068	1959-U01	Discoverer 4	1959 Jun 25	1959 Jun 25	1959 Jun 25	1959 Jun 25	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00070	1959-U01	SRV 102	1959 Jun 25	1959 Jun 25	1959 Jun 25	1959 Jun 25	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00072	1959-F05	NASA S-1	1959 Jul 16	1959 Jul 16	1959 Jul 16	1959 Jul 16	-	ExplorerG		-	-	C	SCI	U	-	P/MM/SX*	-	-					-	0	0	0.00	First NASA Explorer
F00074	1959-F07	Beacon	1959 Aug 15	1959 Aug 15	1959 Aug 15	1959 Aug 15	-	Beacon		-	-	C	SCI	U	-	ATM	-	-					-	0	0	0.00	Balloon satellite
F00077	1959-F08	Transit 1A	1959 Sep 17	1959 Sep 17	1959 Sep 17	1959 Sep 17	-	Transit		-	-	D	NAV	U	-	-	-	-					-	0	0	0.00	-
F00081	1959-F09	P-3	1959 Nov 26	1959 Nov 26	1959 Nov 26	1959 Nov 26	-	Able		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00083	1960-F01	Discoverer 9	1960 Feb  4	1960 Feb  4	1960 Feb  4	1960 Feb  4	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00085	1960-F01	SRV 113	1960 Feb  4	1960 Feb  4	1960 Feb  4	1960 Feb  4	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00086	1960-F01	TOD-1	1960 Feb  4	1960 Feb  4	1960 Feb  4	1960 Feb  4	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00088	1960-F02	Discoverer 10	1960 Feb 19	1960 Feb 19	1960 Feb 19	1960 Feb 19	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00090	1960-F02	SRV 110	1960 Feb 19	1960 Feb 19	1960 Feb 19	1960 Feb 19	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00091	1960-F02	TOD-2	1960 Feb 19	1960 Feb 19	1960 Feb 19	1960 Feb 19	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00093	1960-F03	Midas 1	1960 Feb 26	1960 Feb 26	1960 Feb 26	1960 Feb 26	-	Midas ETS		-	-	D	EW	U	-	-	-	-					-	0	0	0.00	-
F00096	1960-F04	NASA S-46	1960 Mar 23	1960 Mar 23	1960 Mar 23	1960 Mar 23	-	ExplorerG		-	-	C	SCI	U	-	P*	-	-					-	0	0	0.00	Radiation studies
F00098	1960-F06	[Luna-4]	1960 Apr 16	1960 Apr 16	1960 Apr 16	1960 Apr 16	-	Luna		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00101	1960-F07	Echo	1960 May 13	1960 May 13	1960 May 13	1960 May 13	-	Echo		-	-	C	COM	U	-	-	-	-					-	0	0	0.00	-
F00104	1960-F08	Discoverer 12	1960 Jun 29	1960 Jun 29	1960 Jun 29	1960 Jun 29	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00106	1960-F08	SRV	1960 Jun 29	1960 Jun 29	1960 Jun 29	1960 Jun 29	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00108	1960-F09	[Korabl'-Sputnik]	1960 Jul 28	1960 Jul 28	1960 Jul 28	1960 Jul 28 0717?	-	Vostok1		-	-	C	SS	U	-	BIO	-	-					-	0	0	0.00	Spaceship test
F00111	1960-F10	Courier 1A	1960 Aug 18	1960 Aug 18	1960 Aug 18	1960 Aug 18	-	Courier		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00113	1960-F11	P-30	1960 Sep 25	1960 Sep 25	1960 Sep 25	1960 Sep 25	-	Able		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00117	1960-F12	[AMS Mars]	1960 Oct 10	1960 Oct 10	1960 Oct 10	1960 Oct 10	-	MV		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Mars probe
F00119	1960-F13	Samos 1	1960 Oct 11	1960 Oct 11	1960 Oct 11	1960 Oct 11 2048?	-	SAMOS E-1		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00123	1960-F14	[AMS Mars]	1960 Oct 14	1960 Oct 14	1960 Oct 14	1960 Oct 14	-	MV		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Mars probe
F00125	1960-F15	Discoverer 16	1960 Oct 26	1960 Oct 26	1960 Oct 26	1960 Oct 26	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00127	1960-F15	SRV 506	1960 Oct 26	1960 Oct 26	1960 Oct 26	1960 Oct 26	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00128	1960-F15	TOD-5	1960 Oct 26	1960 Oct 26	1960 Oct 26	1960 Oct 26	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00132	1960-F16	Transit 3A	1960 Nov 30	1960 Nov 30	1960 Nov 30	1960 Nov 30	-	Transit		-	-	D	NAV	U	-	-	-	-					-	0	0	0.00	-
F00133	1960-F16	SR 2	1960 Nov 30	1960 Nov 30	1960 Nov 30	1960 Nov 30	-	GRAB		-	-	D	SIG	U	-	SX	-	-					-	0	0	0.00	Solar X
F00136	1960-F17	NASA S-56	1960 Dec  4	1960 Dec  4	1960 Dec  4	1960 Dec  4	-	Explorer AD		-	-	C	SCI	U	-	ATM*	-	-					-	0	0	0.00	Air density balloon
F00138	1960-F18	P-31	1960 Dec 15	1960 Dec 15	1960 Dec 15	1960 Dec 15	-	Able		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar probe
F00140	1960-F19	[Korabl'-Sputnik]	1960 Dec 22	1960 Dec 22	1960 Dec 22	1960 Dec 22 0800?	-	Vostok1		-	-	C	SS	U	-	-	-	-					-	0	0	0.00	-
F00143	1961-F01	NASA S-45	1961 Feb 25	1961 Feb 25	1961 Feb 25	1961 Feb 25	-	ExplorerG		-	-	C	SCI	U	-	ION*	-	-					-	0	0	0.00	Ionosphere beacon
