#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Aug  5 0444:32
R11304	1965-S181	Blue Streak F-3	1965 Mar 21 	1965 Mar 21	1965 Mar 21	1965 Mar 21 2317	-	ELDO P	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R11983	1965-S392	X-15-3 Flight 3-44-67	1965 Jun 29 	1965 Jun 29	1965 Jun 29	1965 Jun 29 1821:17	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R12188	1965-S461	X-15-3 Flight 3-46-70	1965 Aug 10 	1965 Aug 10	1965 Aug 10	1965 Aug 10 1952:13	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R12403	1965-S519	X-15-3 Flight 3-49-73	1965 Sep 28 	1965 Sep 28	1965 Sep 28	1965 Sep 28 1819:33	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R12453	1965-078	OV1 Dummy	1965 Oct  5 	1965 Oct  5	1965 Oct  5	1965 Oct  5	-	OV1 X	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R12493	1965-S554	X-15-1 Flight 1-61-101	1965 Oct 14 	1965 Oct 14	1965 Oct 14	1965 Oct 14 2056:00	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R13432	1966-U04	SA-201	1966 Feb 26 	1966 Feb 26	1966 Feb 26	1966 Feb 26 1644	-	Saturn IB	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R13894	1966-S276	ELDO F-4 STV	1966 May 23 	1966 May 23	1966 May 23	1966 May 23 2342?	-	STV	-	-	-	C	TECH	U	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R14400	1966-S444	Scanner 1	1966 Aug 16 	1966 Aug 16	1966 Aug 16	1966 Aug 16	-	LARC Reentry	-	-	-	C	TECH	U	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R14448	1966-U06	SA-202	1966 Aug 25 	1966 Aug 25	1966 Aug 25	1966 Aug 25 1731	-	Saturn IB	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R14819	1966-S579	X-15-3 Flight 3-56-83	1966 Nov  1 	1966 Nov  1	1966 Nov  1	1966 Nov  1 2134:55	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R14972	1966-S620	ELDO F-5 STV	1966 Nov 14 	1966 Nov 14	1966 Nov 14	1966 Nov 14 2045:18	-	STV	-	-	-	C	TECH	U	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R15062	1966-S658	SPARTA 1	1966 Nov 28 	1966 Nov 28	1966 Nov 28	1966 Nov 28	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R15132	1966-S683	SPARTA 2	1966 Dec 13 	1966 Dec 13	1966 Dec 13	1966 Dec 13	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R15950	1967-S225	SPARTA 3	1967 Apr 19 	1967 Apr 19	1967 Apr 19	1967 Apr 19	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16322	1967-S332	SPARTA 4	1967 Jul  4 	1967 Jul  4	1967 Jul  4	1967 Jul  4	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16401	1967-S356	SPARTA 5	1967 Jul 24 	1967 Jul 24	1967 Jul 24	1967 Jul 24	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16448	1967-S367	ELDO F-6/1 STV	1967 Aug  4 	1967 Aug  4	1967 Aug  4	1967 Aug  4 0401	-	STV	-	-	-	C	TECH	U	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16506	1967-S390	SPARTA 6	1967 Aug 17 	1967 Aug 17	1967 Aug 17	1967 Aug 17	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16645	1967-S438	SPARTA 7	1967 Sep 15 	1967 Sep 15	1967 Sep 15	1967 Sep 15	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16787	1967-S487	SPARTA 8	1967 Oct 11 	1967 Oct 11	1967 Oct 11	1967 Oct 11	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16811	1967-S496	X-15-3 Flight 3-64-95	1967 Oct 17 	1967 Oct 17	1967 Oct 17	1967 Oct 17 1650:29	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16870	1967-S513	SPARTA 9	1967 Oct 31 	1967 Oct 31	1967 Oct 31	1967 Oct 31	-	WRESAT	-	-	-	D	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R16957	1967-S535	X-15-3 Flight 3-65-97	1967 Nov 15 	1967 Nov 15	1967 Nov 15	1967 Nov 15 1834:58	-	X-15	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R17053	1967-S561	ELDO F-6/2 STV	1967 Dec  5 	1967 Dec  5	1967 Dec  5	1967 Dec  5 2103	-	STV	-	-	-	C	TECH	U	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R18022	1968-S289	Reentry 5	1968 Apr 27 	1968 Apr 27	1968 Apr 27	1968 Apr 27	-	Scout Reentry	-	-	-	C	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R18538	1968-S467	X-15-1 Flight 1-79-139	1968 Aug 21 	1968 Aug 21	1968 Aug 21	1968 Aug 21 1614:11	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R20831	1969-S480	L-4T	1969 Sep  3 	1969 Sep  3	1969 Sep  3	1969 Sep  3	-	L-4S	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R21268	1969-S588	US-A GVM	1969 Nov  1 	1969 Nov  1	1969 Nov  1	1969 Nov  1	-	US-A	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R22228	1970-S187	Black Arrow R-1	1970 Mar  3 	1970 Mar  3	1970 Mar  3	1970 Mar  3	-	UKX	-	-	-	C	TECH	F	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R23314	1970-S488	GVM L-1e 82-EV	1970 Aug 18 	1970 Aug 18	1970 Aug 18	1970 Aug 18 0404?	-	L-1e	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R23581	1970-S545	RAM C-3	1970 Sep 30 	1970 Sep 30	1970 Sep 30	1970 Sep 30	-	Scout RAM	-	-	-	C	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R23905	1970-S626	NB22.208	1970 Nov 25 	1970 Nov 25	1970 Nov 25	1970 Nov 25	-	Scout Probe	-	-	-	C	AST	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R25389	1971-S334	PAET	1971 Jun 20 	1971 Jun 20	1971 Jun 20	1971 Jun 20 1945	-	Scout Probe	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R38431	1977-S246	FB-1 Test	1977 Sep 14 	1977 Sep 14	1977 Sep 14	1977 Sep 14	-	FB-1 Test	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R39843	1978-S112	FB-1 Test	1978 Apr 15 	1978 Apr 15	1978 Apr 15	1978 Apr 15	-	FB-1 Test	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R42644	1979-S263	L-4SC-5 Nosecone	1979 Sep 20 	1979 Sep 20	1979 Sep 20	1979 Sep 20	-	Lambda	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R44812	1980-S222	BOR-4S No. 401	1980 Dec  5 	1980 Dec  5	1980 Dec  5	1980 Dec  5	-	BOR-4	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R50222	1984-S44	ASAT 1	1984 Jan 21 	1984 Jan 21	1984 Jan 21	1984 Jan 21	-	MHV	-	-	-	D	WEAPON	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R50786	1984-S99	BOR-5 No. 501	1984 Jul  5 	1984 Jul  5	1984 Jul  5	1984 Jul  5	-	BOR-5	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R51109	1984-S130	ASAT 2	1984 Nov 13 	1984 Nov 13	1984 Nov 13	1984 Nov 13	-	MHV	-	-	-	D	WEAPON	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R51581	1985-S69	BOR-5 No. 502	1985 Apr 16 	1985 Apr 17	1985 Apr 17	1985 Apr 17	-	BOR-5	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R52037	1985-S118	ASAT 3	1985 Sep 13 	1985 Sep 13	1985 Sep 13	1985 Sep 13 2043	-	MHV	-	-	-	D	WEAPON	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R53069	1986-S80	ASAT 4	1986 Aug 22 	1986 Aug 22	1986 Aug 22	1986 Aug 22	-	MHV	-	-	-	D	WEAPON	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R53206	1986-S100	ASAT 5	1986 Sep 30 	1986 Sep 30	1986 Sep 30	1986 Sep 30	-	MHV	-	-	-	D	WEAPON	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R53403	1986-S118	BOR-5 No. 503	1986 Dec 25 	1986 Dec 25	1986 Dec 25	1986 Dec 25	-	BOR-5	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R54455	1987-S131	BOR-5 No. 504	1987 Aug 26 	1987 Aug 27	1987 Aug 27	1987 Aug 27	-	BOR-5	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R55739	1988-S99	BOR-5 No. 505	1988 Jun 21 	1988 Jun 21	1988 Jun 21	1988 Jun 21	-	BOR-5	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
