#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
L00035	NSO	1944-A12	1944-A12	R1          	V-2	18350	1944 Aug 18	-	1944 Aug 18	Earth	1944 Aug 18	S	-	WER836-3	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 18	   -6300	?	      40	?	  0.00 	 	ATM	U	-
L00036	NSO	1944-A13	1944-A13	R1          	V-2	18344	1944 Aug 26	-	1944 Aug 26	Earth	1944 Aug 26	S	-	WER485-2	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 26	   -6300	?	      10	?	  0.00 	 	ATM	U	-
L00037	NSO	1944-A14	1944-A14	R1          	V-2	18293	1944 Sep  2	-	1944 Sep  2	Earth	1944 Sep  2	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep  2	   -6300	?	      35	?	  0.00 	 	ATM	U	-
L00038	NSO	1944-A15	1944-A15	R1          	V-2	18589	1944 Sep  6	-	1944 Sep  6	Earth	1944 Sep  6	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep  6	   -6260	?	       1	?	  0.00 	 	ATM	U	-
L00039	NSO	1944-A16	1944-A16	R1          	V-2	18593	1944 Sep  6	-	1944 Sep  6	Earth	1944 Sep  6	S	-	WER444	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep  6	   -6260	?	       1	?	  0.00 	 	ATM	U	-
L00040	NSO	1944-M02	1944-M02	R1          	V-2	18181	1944 Sep 13	-	1944 Sep 13	Earth	1944 Sep 13	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep 13	   -6300	?	      64	?	  0.00 	 	ATM	U	-
L00041	NSO	1944-A17	1944-A17	R1          	V-2	18756	1944 Sep 15	-	1944 Sep 15	Earth	1944 Sep 15	S	-	WER500	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep 15	   -6300	?	       1	?	  0.00 	 	ATM	U	-
L00042	NSO	1944-A18	1944-A18	R1          	V-2	18763	1944 Sep 15	-	1944 Sep 15	Earth	1944 Sep 15	S	-	WER500	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep 15	   -6300	?	       5	?	  0.00 	 	ATM	U	-
L00043	NSO	1944-A19	1944-A19	R1          	V-2	18823	1944 Sep 23	-	1944 Sep 23	Earth	1944 Sep 23	S	-	WER836-1	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Sep 23	   -6300	?	      20	?	  0.00 	 	ATM	U	-
L00044	NSO	1944-A59	1944-A59	R1          	V-2	V-2	1944 Sep 26	-	1944 Sep 26	Earth	1944 Sep 26	S	-	-	-	WEHR	-	-	    4000 	 	      0 	 	       0 	 	  12.0 	 	  1.650	 	   12.0 	 	-	1944 Sep 26	   -6260	 	      10	 	  0.00 	 	ATM	U	-
L00045	NSO	1944-A60	1944-A60	R1          	V-2	V-2	1944 Oct 27	-	1944 Oct 27	Earth	1944 Oct 27	S	-	-	-	WEHR	-	-	    4000 	 	      0 	 	       0 	 	  12.0 	 	  1.650	 	   12.0 	 	-	1944 Oct 27	   -6260	 	       0	 	  0.00 	 	ATM	U	-
L00046	NSO	1944-A61	1944-A61	R1          	Wasserfall	Wasserfall	1944 Oct 30	-	1944 Oct 30	Earth	1944 Oct 30	S	-	-	-	WEHR	-	-	    1700 	 	      0 	 	       0 	 	   7.8 	 	  0.880	 	    7.8 	 	-	1944 Oct 30	   -6378	 	      10	 	  0.00 	 	ATM	U	-
L00047	NSO	1944-A20	1944-A20	R1          	V-2	19832	1944 Nov 22	-	1944 Nov 22	Earth	1944 Nov 22	S	-	WER271-1	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Nov 22	   -6260	?	       0	?	  0.00 	 	ATM	U	-
L00048	NSO	1944-A21	1944-A21	R1          	V-2	19834	1944 Nov 24	-	1944 Nov 24	Earth	1944 Nov 24	S	-	WER271-1	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Nov 24	   -6260	?	      20	?	  0.00 	 	ATM	U	-
L00049	NSO	1944-A22	1944-A22	R1          	V-2	19835	1944 Nov 25	-	1944 Nov 25	Earth	1944 Nov 25	S	-	WER271-1	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Nov 25	   -6260	?	      30	?	  0.00 	 	ATM	U	-
L00050	NSO	1944-A23	1944-A23	R1          	V-2	19840	1944 Nov 27	-	1944 Nov 27	Earth	1944 Nov 27	S	-	WER271-1	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Nov 27	   -6260	?	       0	?	  0.00 	 	ATM	U	-
L00051	NSO	1944-A35	1944-A35	R0          	Private A Booster	Private A Booster	1944 Dec	L00052	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00052	NSO	1944-A35	1944-A35	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00053	NSO	1944-A36	1944-A36	R0          	Private A Booster	Private A Booster	1944 Dec	L00054	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00054	NSO	1944-A36	1944-A36	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00055	NSO	1944-A37	1944-A37	R0          	Private A Booster	Private A Booster	1944 Dec	L00056	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00056	NSO	1944-A37	1944-A37	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00057	NSO	1944-A38	1944-A38	R0          	Private A Booster	Private A Booster	1944 Dec	L00058	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00058	NSO	1944-A38	1944-A38	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00059	NSO	1944-A39	1944-A39	R0          	Private A Booster	Private A Booster	1944 Dec	L00060	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	-	 	      0 	 	       0 	 	   1.0 	 	  0.470	 	    1.0 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
L00060	NSO	1944-A39	1944-A39	R1          	Private A	Private A	1944 Dec	-	1944 Nov 30	Earth	1944 Nov 30	S	-	-	-	JPL	-	-	     130 	 	      0 	 	       0 	 	   2.3 	 	  0.250	 	    2.3 	 	-	1944 Nov 30	   -6378	 	       1	 	  0.00 	 	ATM	U	-
