#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
A00024	NNA S	1959 DEL	1959 DEL	R2  S       	Able III	AJ10-101A	1959 Aug  7	R03068	1959 Aug  7 1427	Earth	1959 Aug  7 1502?	S	-	USAF	US	AJGC	Able	-	     429 	 	    429 	 	     429 	 	   5.0 	 	  0.8 	 	    5.0 	 	-	1959 Aug  7	   -1597	 	     965	 	 46.90 	 	SO	U	-
A00025	00015	1959 DEL	1959 DEL	C AM        	1-KS-420	ARC 420	1959 Aug  7	S00015	1959 Aug  7 1430	Earth	1961 Jul  1?	AR	-	GSFC	US	ARC	1-KS-420	-	       2 	?	      2 	?	       0 	?	   0.1 	 	  0.1 	 	    0.1 	 	Cone	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	-
A00026	NNA	1959 DEL	1959 DEL	C  A        	Clamp band half	-	1959 Aug  7	S00015	1959 Aug  7 1430	Earth	1961 Jun?	R	-	GSFC	US	TRW	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.2 	?	Half Cyl	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	-
A00027	NNA	1959 DEL	1959 DEL	C  A        	Clamp band half	-	1959 Aug  7	S00015	1959 Aug  7 1430	Earth	1961 Jun?	R	-	GSFC	US	TRW	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    0.2 	?	Half Cyl	1959 Sep  8	     250	 	   42327	 	 46.95 	 	HEO	-	-
A00028	00018	1959 EPS	1959 EPS 1	R2          	Agena A 1029	Agena A	1959 Aug 13	R03080	1959 Aug 13 1906	Earth	1959 Sep 28	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Aug 14	     215	 	     732	 	 80.00 	 	LLEO/I	-	-
A00029	NNA	1959 EPS	1959 EPS	C  M        	Star 10	Star 10	1959 Aug 13	S00026	1959 Aug 14 2142	Earth	1961 Feb?	R	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1960 Feb 15	     218	 	    1700	 	 78.90 	 	LEO/I	-	-
A00030	00019	1959 ZET	1959 ZET	R2          	Agena A 1028	Agena A	1959 Aug 19	R03097	1959 Aug 19 1931	Earth	1959 Oct 20	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	 	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Aug 20	     207	 	     846	 	 84.00 	 	LLEO/I	-	-
A00031	NNA R	1959 ZET	1959 ZET	C  MR       	Star 10	Star 10	1959 Aug 19	A00032	1959 Aug 20 2227	Earth	1959 Aug 20 2232?	D	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Aug 20	      10	?	     580	?	 84.00 	 	TA	-	-
A00032	NNA T	1959 ZET	1959 ZET	PX-RT--     	SRV 105	SRV	1959 Aug 19	S00019	1959 Aug 20 2227	Earth	1959 Aug 20 2239?	L	25N 167W?	ARPA/CIA	US	GEMSD	SRV Mk IIA	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Aug 20	     207	 	     846	 	 84.00 	 	LLEO/I	-	-
A00033	NNA	1959 XI	1959 XI	R3  D       	Vostok 8K72 No. 7B Stage 3	8K72E No. I1-7B	1959 Sep 12	R03161	1959 Sep 12 0651?	Earth	1959 Sep 12 1815	DSO	D00008	NII88	SU	OKB1	Blok-E	-	    1511 	 	   1511 	 	    1511 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Sep 12	    -371	 	 -354774	 	 65.00 	 	EEO	-	-
