#JCAT	Piece	Name	Owner	State	World	Lon	Lat	LType	Status	LaunchDate	LandDate	OffDate	Dur	LSite	Comment
# Updated 2025 Aug  5 0444:49
D00184	1967-112	Surveyor 6 Radar	JPL	US	Luna	   -1.4275	    0.4743	C	I	1967 Nov  7 0739:01	1967 Nov 10 0100	1967 Nov 10 0058	    0.000 	-	Component
D00125	1966-078A	Luna-11	IKI	SU	Luna	         -	         -	O	R	1966 Aug 24 0803:21	1968?	1966 Oct  1 0203	    0.000 	-	Post-mission orbit decay
D00190	1968-001A	Surveyor 7	JPL	US	Luna	  -11.5127	  -40.9811	L	L	1968 Jan  7 0630:00	1968 Jan 10 0105:36	1968 Feb 21 0024	   41.971 	-	Successful
D00192	1968-001	Star 37 S/N A22-14	JPL	US	Luna	  -11.5127	  -40.9811	C	I	1968 Jan  7 0630:00	1968 Jan 10 0105?	1968 Jan 10 0103	    0.000 	-	Component
D00191	1968-001	Surveyor 7 Radar	JPL	US	Luna	  -11.5127	  -40.9811	C	I	1968 Jan  7 0630:00	1968 Jan 10 0105?	1968 Jan 10 0103	    0.000 	-	Component
D00176	1967-075A	Lunar Orbiter 5	LARCN	US	Luna	  -83.04	   -2.79	O	I	1967 Aug  1 2233:00	1968 Jan 31 0758	1968 Jan 31 0758	    0.000 	-	Deorbited at end of mission
D00230	1969-001A	Venera-5	IKI	SU	Venus	   18	   -3	C	I	1969 Jan  5 0628:08	1969 May 16 0700?	1969 May 16 0601?	    0.000 	-	Service module
D00231	1969-001	SA Veneri-5	IKI	SU	Venus	   18	   -3	LP	I	1969 Jan  5 0628:08	1969 May 16 0700?	1969 May 16 0654:56	    0.000 	-	Crushed during descent in atmosphere
D00233	1969-002A	Venera-6	IKI	SU	Venus	   23	   -5	C	I	1969 Jan 10 0551:52	1969 May 17 0700?	1969 May 17 0605?	    0.000 	-	Service module
D00234	1969-002	SA Veneri-6	IKI	SU	Venus	   23	   -5	LP	I	1969 Jan 10 0551:52	1969 May 17 0700?	1969 May 17 0658:04	    0.000 	-	Crushed during descent in atmosphere
