genus,image_url,summary
Tricolia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Tricolia_gabiniana_002.jpg/250px-Tricolia_gabiniana_002.jpg,"Tricolia is a genus of sea snails, marine gastropod molluscs in the subfamily Tricoliinae of the family Phasianellidae.
This genus formerly belonged to the family Tricoliidae.


== Description ==
This genus consists of small species with a head without frontal lobes."
Solamen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Solamen_dollfusi_%28MNHN-IM-2000-32908%29.jpeg/250px-Solamen_dollfusi_%28MNHN-IM-2000-32908%29.jpeg,"Solomon (), also called Jedidiah, was the fourth monarch of the Kingdom of Israel and Judah, according to the Hebrew Bible. The successor of his father David, he is described as having been the penultimate ruler of all Twelve Tribes of Israel under an amalgamated Israel and Judah. The hypothesized dates of Solomon's reign are from 970 to 931 BCE. According to the biblical narrative, after Solomon's death, his son and successor Rehoboam adopted harsh policies towards the northern Israelites, who then rejected the reign of the House of David and sought Jeroboam as their king."
Dendrodoris,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Bluespeckled_dendrodoris.jpg/250px-Bluespeckled_dendrodoris.jpg,"Dendrodoris is a genus of nudibranchs, marine gastropod molluscs in the family Dendrodorididae.


== Species ==
Species so far described in this genus include:

Taxon inquirendum
Dendrodoris jousseaumei (Vayssière, 1912)
Species brought into synonymy

Dendrodoris australiensis (Abraham, 1877): synonym of Dendrodoris nigra (Stimpson, 1855)
Dendrodoris clavalata (Alder & Hancock, 1864): synonym of Dendrodoris krusensternii (Gray, 1850)
Dendrodoris davisi (Allan, 1933): synonym of Doriopsilla miniata (Alder & Hancock, 1864)
Dendrodoris denisoni (Angas, 1864): synonym of Dendrodoris krusensternii (Gray, 1850)
Dendrodoris gemmacea (Alder & Hancock, 1864): synonym of Dendrodoris denisoni (Angas, 1864): synonym of Dendrodoris krusensternii (Gray, 1850)
Dendrodoris kalkensis (Barnard, 1927): synonym of Dendrodoris caesia (Bergh, 1907)
Dendrodoris melaena (Allan, 1932): synonym of Dendrodoris nigra (Stimpson, 1855)
Dendrodoris singaporensis (Lim & Chou, 1970): synonym of Dendrodoris atromaculata (Alder & Hancock, 1864)
Dendrodoris gunnamatta (Allan, 1932): synonym of Dendrodoris krusensternii (Gray, 1850)


== References ==

Gofas, S.; Le Renard, J.; Bouchet, P. (2001). Mollusca, in: Costello, M.J. et al."
Desbruyeresia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr.svg/20px-OOjs_UI_icon_edit-ltr.svg.png,"Desbruyeresia is a genus of sea snails, marine gastropod mollusks in the family Provannidae."
Diaphana,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr.svg/20px-OOjs_UI_icon_edit-ltr.svg.png,"Diaphana is a genus of gastropods belonging to the family Diaphanidae.
The genus has almost cosmopolitan distribution."
Dolicholatirus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Dolicholatirus_bairstowi_001.jpg/250px-Dolicholatirus_bairstowi_001.jpg,"Dolicholatirus is a genus of sea snails, marine gastropod mollusks in the family Dolicholatiridae.


== Species ==
Species within the genus Dolicholatirus include:

Dolicholatirus acus (Adams & Reeve, 1848)
 Dolicholatirus bairstowi (G.B. Sowerby III, 1886)
Dolicholatirus bozzetti Lussi, 1993
Dolicholatirus brevicaudatus Lussi, 2014
† Dolicholatirus bronni (Michelotti, 1847)
Dolicholatirus cayohuesonicus (G.B. Sowerby II, 1878)
Dolicholatirus celinamarumai Kosuge, 1981
Dolicholatirus fernandesi Bozzetti, 2002
Dolicholatirus lancea (Gmelin, 1791) 
Dolicholatirus maryseae D. Monsecour & Lorenz, 2018
Dolicholatirus minusculus Bozzetti, 2007
Dolicholatirus mosterti Lussi, 2014
Dolicholatirus pauli (McGinty, 1955)
Dolicholatirus smithi Snyder, 2000
Dolicholatirus spiceri (Tenison-Woods, 1876)
† Dolicholatirus teschi (Finlay, 1927)
Dolicholatirus thesaurus (Garrard, 1963)
Dolicholatirus vezzaroi Cossignani, 2015
Species brought into synonymy

Dolicholatirus duffyi Petuch, 1992: synonym of Teralatirus funebris (Preston, 1907)
Dolicholatirus funebris (Preston, 1907): synonym of Teralatirus funebris (Preston, 1907)
† Dolicholatirus ornatus P. Marshall, 1918: synonym of † Latirogona ornata (P. Marshall, 1918)


== References ==


== External links ==

Bellardi L. (1884). I molluschi dei terreni terziarii del Piemonte e della Liguria."
Drillia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Drillia_quadrasi_002.jpg/250px-Drillia_quadrasi_002.jpg,"Drillia is a genus of small sea snails, marine gastropod mollusks in the family Drilliidae.


== General characteristics ==
The shell is turriculated, with an elevated spire, longitudinal ribs, and usually revolving striae. The spiral sculpture of the shell is rather smooth or shows a wide spacing of incised lines."
Kylix,,"In the pottery of ancient Greece, a kylix ( KY-liks,  KIL-iks; Ancient Greek: κύλιξ, pl. κύλικες; also spelled cylix; pl.: kylikes  KY-lih-keez,  KIL-ih-keez) is the most common type of cup in the period, usually associated with the drinking of wine. The cup often consists of a rounded base and a thin stem under a basin."
Tjaernoeia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/OOjs_UI_icon_edit-ltr.svg/20px-OOjs_UI_icon_edit-ltr.svg.png,"Tjaernoeia is a genus of sea snails, marine gastropod mollusks in the informal group Lower Heterobranchia. They are named after the marine laboratory at Tjärnö, Strömstad, Sweden. Their shells are rounded, thin and translucent."
Clatrosansonia,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Mareleptopoma_drivasi_%28MNHN-IM-2000-22758%29.jpeg/250px-Mareleptopoma_drivasi_%28MNHN-IM-2000-22758%29.jpeg,"Mareleptopoma is a genus of small sea snails, marine gastropod molluscs in the subfamily Pickworthiinae  of the family Pickworthiidae .


== Species ==
Mareleptopoma defluxa Rolán, 2005
Mareleptopoma drivasi Le Renard & Bouchet, 2003
Mareleptopoma intermedia Le Renard & Bouchet, 2003
Mareleptopoma iredalei (Bavay, 1922)
Mareleptopoma karpatensis Moolenbeek & Faber, 1984
† Mareleptopoma kenneyi (Ladd, 1966)
Mareleptopoma minor (Almera & Bofill, 1898)
Mareleptopoma pellucens Le Renard & Bouchet, 2003
Mareleptopoma rectangularis Rolán & Fernández-Garcés, 1993
Mareleptopoma spinosa (Hedley, 1902)
Mareleptopoma vaubani Le Renard & Bouchet, 2003
Species brought into synonymy

Mareleptopoma chefyae Rolán, Espinosa & Fernández-Garcés, 1991: synonym of Clatrosansonia chefyae (Rolán, Espinosa & Fernández-Garcés, 1991) (original combination)
Mareleptopoma circumserrata Raines, 2002: synonym of Clatrosansonia circumserrata (Raines, 2002) (original combination)
Mareleptopoma cubensis Espinosa, Fernández-Garcés & Rolán, 1990: synonym of Clatrosansonia cubensis (Espinosa, Fernández-Garcés & Rolán, 1990) (original combination)
Mareleptopoma italica (Raffi & Taviani, 1985): synonym of Mareleptopoma minor (Almera & Bofill, 1898)
Mareleptopoma katyae Rolán, Espinosa & Fernández-Garcés, 1991: synonym of Chrystella katyae (Rolán, Espinosa & Fernández-Garcés, 1991) (original combination)
Mareleptopoma scalaris Rolán & Fernández-Garcés, 1993: synonym of Clatrosansonia scalaris (Rolán & Fernández-Garcés, 1993) (original combination)
Mareleptopoma verdensis Rolán & Rubio, 1999: synonym of Chrystella verdensis (Rolán & Rubio, 1999) (original combination)


== References ==

Le Renard, J. & Bouchet, P., 2003. New species and genera of the family Pickworthiidae (Mollusca, Caenogastropoda)."
